itinerary_id,origin,destination,departure_date,return_date,price_raw,price_formatted,currency,outbound_duration,return_duration,outbound_stops,return_stops,outbound_carriers,return_carriers,outbound_departure,outbound_arrival,return_departure,return_arrival,score,is_self_transfer,search_key
10957-2607100425--32348-1-14325-2607101430|14325-2607171615--32348-1-10957-2607180905,DEL,MRU,2026-07-10,2026-07-17,101813.0,"₹101,813",INR,695,920,1,1,Emirates,Emirates,2026-07-10T04:25:00,2026-07-10T14:30:00,2026-07-17T16:15:00,2026-07-18T09:05:00,0.445572,False,DEL-MRU_2026-07-10_2026-07-17
10957-2607082100--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,660,1845,1,1,Air India,Turkish Airlines,2026-07-08T21:00:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.280388,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607082000--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,720,1845,1,1,Air India,Turkish Airlines,2026-07-08T20:00:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.27383,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607081900--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,780,1845,1,1,Air India,Turkish Airlines,2026-07-08T19:00:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.267571,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607081800--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,840,1845,1,1,Air India,Turkish Airlines,2026-07-08T18:00:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.261591,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607081700--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,900,1845,1,1,Air India,Turkish Airlines,2026-07-08T17:00:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.255873,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607081600--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,960,1845,1,1,Air India,Turkish Airlines,2026-07-08T16:00:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.2504,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607081530--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,990,1845,1,1,Air India,Turkish Airlines,2026-07-08T15:30:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.247751,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607081330--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,1110,1845,1,1,Air India,Turkish Airlines,2026-07-08T13:30:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.23769,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607081220--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,1180,1845,1,1,Air India,Turkish Airlines,2026-07-08T12:20:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.232189,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607081100--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,1260,1845,1,1,Air India,Turkish Airlines,2026-07-08T11:00:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.226207,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607080930--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,1350,1845,1,1,Air India,Turkish Airlines,2026-07-08T09:30:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.219835,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607080900--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,1380,1845,1,1,Air India,Turkish Airlines,2026-07-08T09:00:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.21779,False,DEL-MRU_2026-07-08_2026-07-16
10957-2607080830--32672-1-14325-2607090630|14325-2607162035--31734-1-10957-2607180450,DEL,MRU,2026-07-08,2026-07-16,101867.0,"₹101,867",INR,1410,1845,1,1,Air India,Turkish Airlines,2026-07-08T08:30:00,2026-07-09T06:30:00,2026-07-16T20:35:00,2026-07-18T04:50:00,0.215783,False,DEL-MRU_2026-07-08_2026-07-16
